Scenario - EJ_RSBC_5go1st_cond(50)tra(75%)												
Logfile written - 04/15/2021 18:46:22												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
												
210415_RL#219_15g	0	Manual	04/15/2021 17:06:20	30	30	NA						
210415_RL#219_15g	0	Manual	2	1711	1711	NA						
210415_RL#219_15g	1	Sound	211	1878	13	274			0		other	0
210415_RL#219_15g	2	Picture	555	6930	0	2	10130	4	0	next	false_alarm	6
210415_RL#219_15g	2	Port Input	1	10665	3735	3						
210415_RL#219_15g	2	Response	1	10665	3735	3						
210415_RL#219_15g	2	Port Input	1	10668	3738	3						
210415_RL#219_15g	2	Response	1	10668	3738	3						
210415_RL#219_15g	2	Port Input	1	12043	5113	4						
210415_RL#219_15g	2	Response	1	12043	5113	4						
210415_RL#219_15g	2	Port Input	1	13517	6587	3						
210415_RL#219_15g	2	Response	1	13517	6587	3						
210415_RL#219_15g	2	Port Input	1	15164	8234	4						
210415_RL#219_15g	2	Response	1	15164	8234	4						
210415_RL#219_15g	2	Port Input	1	15169	8239	3						
210415_RL#219_15g	2	Response	1	15169	8239	3						
210415_RL#219_15g	3	Picture	10	17060	0	2	932	5	0	next	hit	19
210415_RL#219_15g	3	Port Input	1	17881	821	4						
210415_RL#219_15g	3	Response	1	17881	821	4						
210415_RL#219_15g	4	Picture	351	17992	0	3	266	5	0	next	other	0
210415_RL#219_15g	5	Picture	1	18258	0	2	20126	4	0	next	false_alarm	23
210415_RL#219_15g	5	Port Input	1	19357	1099	3						
210415_RL#219_15g	5	Response	1	19357	1099	3						
210415_RL#219_15g	5	Port Input	1	20399	2140	4						
210415_RL#219_15g	5	Response	1	20399	2140	4						
210415_RL#219_15g	5	Port Input	1	21476	3218	3						
210415_RL#219_15g	5	Response	1	21476	3218	3						
210415_RL#219_15g	5	Port Input	1	22593	4335	4						
210415_RL#219_15g	5	Response	1	22593	4335	4						
210415_RL#219_15g	5	Port Input	1	23793	5534	4						
210415_RL#219_15g	5	Response	1	23793	5534	4						
210415_RL#219_15g	5	Port Input	1	25072	6813	3						
210415_RL#219_15g	5	Response	1	25072	6813	3						
210415_RL#219_15g	5	Port Input	1	25075	6816	4						
210415_RL#219_15g	5	Response	1	25075	6816	4						
210415_RL#219_15g	5	Port Input	1	26456	8198	3						
210415_RL#219_15g	5	Response	1	26456	8198	3						
210415_RL#219_15g	5	Port Input	1	27844	9585	3						
210415_RL#219_15g	5	Response	1	27844	9585	3						
210415_RL#219_15g	5	Port Input	1	29199	10941	3						
210415_RL#219_15g	5	Response	1	29199	10941	3						
210415_RL#219_15g	5	Port Input	1	30679	12421	3						
210415_RL#219_15g	5	Response	1	30679	12421	3						
210415_RL#219_15g	5	Port Input	1	32113	13854	5						
210415_RL#219_15g	5	Response	1	32113	13854	5						
210415_RL#219_15g	5	Port Input	1	33592	15333	3						
210415_RL#219_15g	5	Response	1	33592	15333	3						
210415_RL#219_15g	5	Port Input	1	35137	16879	4						
210415_RL#219_15g	5	Response	1	35137	16879	4						
210415_RL#219_15g	5	Port Input	1	36518	18259	3						
210415_RL#219_15g	5	Response	1	36518	18259	3						
210415_RL#219_15g	5	Port Input	1	36522	18264	3						
210415_RL#219_15g	5	Response	1	36522	18264	3						
210415_RL#219_15g	5	Port Input	1	37893	19635	4						
210415_RL#219_15g	5	Response	1	37893	19635	4						
210415_RL#219_15g	6	Picture	3511	38384	0	2	400	4	0	next	other	0
210415_RL#219_15g	7	Picture	666	38784	0	3	20126	4	0	next	false_alarm	59
210415_RL#219_15g	7	Port Input	1	39323	539	4						
210415_RL#219_15g	7	Response	1	39323	539	4						
210415_RL#219_15g	7	Port Input	1	39328	544	3						
210415_RL#219_15g	7	Response	1	39328	544	3						
210415_RL#219_15g	7	Port Input	1	40698	1913	3						
210415_RL#219_15g	7	Response	1	40698	1913	3						
210415_RL#219_15g	7	Port Input	1	42117	3332	3						
210415_RL#219_15g	7	Response	1	42117	3332	3						
210415_RL#219_15g	7	Port Input	1	42121	3337	3						
210415_RL#219_15g	7	Response	1	42121	3337	3						
210415_RL#219_15g	7	Port Input	1	43435	4650	4						
210415_RL#219_15g	7	Response	1	43435	4650	4						
210415_RL#219_15g	7	Port Input	1	44629	5845	3						
210415_RL#219_15g	7	Response	1	44629	5845	3						
210415_RL#219_15g	7	Port Input	1	45914	7130	4						
210415_RL#219_15g	7	Response	1	45914	7130	4						
210415_RL#219_15g	7	Port Input	1	45918	7134	3						
210415_RL#219_15g	7	Response	1	45918	7134	3						
210415_RL#219_15g	7	Port Input	1	47192	8407	3						
210415_RL#219_15g	7	Response	1	47192	8407	3						
210415_RL#219_15g	7	Port Input	1	48448	9663	3						
210415_RL#219_15g	7	Response	1	48448	9663	3						
210415_RL#219_15g	7	Port Input	1	49708	10924	4						
210415_RL#219_15g	7	Response	1	49708	10924	4						
210415_RL#219_15g	7	Port Input	1	51094	12310	4						
210415_RL#219_15g	7	Response	1	51094	12310	4						
210415_RL#219_15g	7	Port Input	1	51098	12313	3						
210415_RL#219_15g	7	Response	1	51098	12313	3						
210415_RL#219_15g	7	Port Input	1	52342	13557	3						
210415_RL#219_15g	7	Response	1	52342	13557	3						
210415_RL#219_15g	7	Port Input	1	53690	14906	3						
210415_RL#219_15g	7	Response	1	53690	14906	3						
210415_RL#219_15g	7	Port Input	1	54951	16166	3						
210415_RL#219_15g	7	Response	1	54951	16166	3						
210415_RL#219_15g	7	Port Input	1	56424	17640	4						
210415_RL#219_15g	7	Response	1	56424	17640	4						
210415_RL#219_15g	7	Port Input	1	57843	19059	4						
